STN,fct_id,stn_sp
482,11B20305,A1110000
483,11B20305,A1110000
484,11B20502,A1110000
485,11B20404,A1110000
486,11B20404,A1110000
487,11B20102,A1110000
488,11B20604,A1110000
489,11B20604,A1110000
491,11B20402,A1100000
492,11B10103,A1110000
493,11C20302,01111000
494,11C20404,01111000
495,11B20611,01110000
496,11C20404,01110000
497,11D20200,01111000
498,11D20200,11111000
499,11B20402,01111000
500,11B20101,01111000
501,11A00100,01111000
502,11B20101,01111000
503,11B20305,01111000
504,11B20403,01111000
505,11B20404,01111000
506,11B20305,01111000
507,11B20403,01111000
508,11B20201,01111000
509,11B10101,01111000
510,11B10101,01111000
511,11B20201,01111000
512,11B20201,01111000
513,11B20201,01111000
514,11B20203,01111000
515,11B20604,01110000
516,11B20611,01111000
517,11D20402,01111000
518,11D20100,11111000
519,11D10102,01111000
520,11D20100,11111000
522,11D10302,01111000
523,11D20501,01111000
524,11D20501,01111000
525,11D10503,01110000
526,11D10503,01111000
527,11D10502,01111000
529,11D20602,01111000
530,11E00101,01110000
531,11B20404,01111000
532,11B20301,01111000
533,11B20701,01110000
534,11B20701,01111000
535,11D10302,01111000
536,11D10402,01111000
537,11D20300,11111000
538,11B20402,01111000
539,11B20403,01111000
540,11B20302,01111000
541,11B20502,01111000
542,11B20404,01111000
543,11B20201,01111000
544,11B20604,01111000
545,11B20203,01111000
546,11B20702,01111000
547,11B20503,01111000
548,11B20703,01111000
549,11B20612,01111000
550,11B20603,01111000
551,11B20606,01110000
552,11D10101,01111000
553,11D20402,01111000
554,11D20100,01111000
555,11D10102,01111000
556,11D10202,01111000
557,11D20100,01111000
558,11D10302,01111000
559,11D20200,01111000
560,11D20200,01111000
561,11D10402,01111000
563,11D10502,01111000
565,11B20202,01111000
566,11D20501,01111000
567,11B20305,01111000
568,11B20403,01111000
569,11B20501,01111000
570,11B20201,01111000
571,11B20604,01111000
572,11B20605,01111000
573,11B20503,01111000
574,11B20703,01111000
575,11B20612,01111000
576,11B20612,01111000
577,11B20201,01111000
578,11C20201,01111000
579,11D20300,01110000
580,11D20501,01110000
581,11D10501,01211000
582,11D10401,01111000
583,11D10402,01111000
585,11D10201,01111000
586,11D10301,01111000
587,11D10202,01111000
588,11D10301,01110000
589,11B20302,01111000
590,11B10102,01111000
591,11D10401,01111000
592,11D10401,01111000
593,11D20100,01111000
594,11D20100,01111000
595,11D20100,01211000
596,11D20100,01111000
597,11D10503,01111000
598,11B20304,01111000
599,11B20403,01111000
600,11C10103,01111000
601,11C10202,01111000
602,11C10102,01111000
603,11C10303,01111000
604,11C10403,01111000
605,11C10402,01111000
606,11C20101,01111000
607,11C20102,01111000
609,11C20201,01111000
610,11C20104,01111000
611,11C20404,01111000
612,11C20402,01111000
614,11C20202,01111000
615,11C20602,01111100
616,11C20103,01111000
617,11C20301,01110000
618,11C20502,01110000
619,11C10103,01111000
620,11C10101,01111000
621,11C10201,01111000
622,11C10101,01111000
623,11C10304,01111000
624,11C10301,01111000
625,11C10302,01110000
626,11C10403,01111000
627,11C20102,01111000
628,11C20303,01111000
629,11C20404,01111000
630,11C10101,01111000
631,11B20201,01111000
632,11C20402,11111000
633,11C20402,01111000
634,11C20302,01111000
635,11C20501,01111000
636,11C20403,01111000
637,11C20103,01111000
638,11C10202,01111000
639,11C10201,01111000
640,11C10303,01111000
641,11C10301,01111000
642,11C20401,01111000
643,11C20401,01111000
644,11C20602,01111000
645,11C20104,01111000
646,11C20202,01111000
647,11C10402,01110000
648,11C20401,01111000
649,11B20201,01111000
650,11D10101,01111000
651,11D10101,01111000
652,11B20402,01111000
654,11B20201,01111000
655,11A00103,11111000
656,11B20101,01111000
657,11C20201,01111000
658,11C20102,01111000
659,11C20403,01111000
660,11D10503,01111000
661,11D20402,01111000
662,11B20201,01111000
663,11B20201,01111000
664,11B20201,01111000
665,11B20201,01111000
666,11C20102,01111000
667,11C20102,01110000
669,11C20201,11111000
670,11D20403,01111000
671,11D20401,01110000
672,21F10601,01111000
673,11H20304,01111000
674,11D20300,01111000
675,11D10301,01111000
676,11C10102,01111110
677,11D20300,01111000
678,11D20200,01111000
679,11D20200,01111000
680,11D10102,01111000
681,11D10102,01111000
682,11D10101,01111000
687,11F20602,01111000
688,11F20504,01111000
689,11F20501,01111000
690,11F10403,01111000
691,11C20502,01111000
692,11B20402,01111000
694,11C20303,01111000
695,11D10102,01210000
696,11D20300,01111000
697,21F20201,11111000
698,21F20804,01111000
699,21F20804,01111000
700,21F10501,01111000
701,11F10302,01111000
702,11F10202,Y1211211
703,11F10303,01110000
704,21F10602,01111000
706,11F20504,01111000
707,21F20803,01111000
708,11F20501,01111000
709,11F20601,01111000
710,11F20503,01111000
711,11F20505,01110000
712,11F20603,01110000
713,11F20402,01110000
714,21F20803,01101000
716,21F20803,01111000
717,21F20201,01111000
718,21F20201,11111000
719,21F10501,01111000
720,11F20301,01111000
721,11F20301,01111000
722,11F20501,01111000
723,11F20401,01111000
724,11G00800,01111000
725,11G00100,01111000
726,11G00500,01111000
727,11G00901,01110000
730,11F20502,11111000
731,21F20802,01111000
732,11F20404,01111000
733,11F10202,01110000
734,11F10204,01211000
735,11F10302,01111000
736,21F10502,01111000
737,21F10502,01110000
738,21F10602,01111000
739,21F10601,01111000
741,11F20505,01111000
742,21F20804,01111000
743,21F20803,01110000
744,21F20302,01111000
745,11F20303,01111000
746,11F20302,01110000
747,11F20301,01111000
748,11F20404,01111000
749,11F20403,01111000
750,11F20401,01111000
751,11G00900,01110000
752,11G01001,01110000
753,11G00300,01110000
754,21F20101,11111000
755,11F20505,01111000
756,21F10602,01111000
757,11F10303,01111000
758,11F10303,01111000
759,11F10401,01111000
760,11F10403,01111000
761,11F10203,01111000
762,11F10402,01111000
763,11F10202,01111000
764,11F10402,01111000
765,11F20404,01111000
766,11F20401,01111000
767,11F20403,01111000
768,11F20602,01111000
769,21F20102,01111000
770,11F20503,01111000
771,21F20803,01111000
772,21F20201,01111000
773,21F20802,01111000
774,21F20804,01111000
775,21F20101,01111000
776,11F20302,01111000
777,11F20304,01111000
778,11F20304,01111000
779,11G00500,01110000
780,11G00400,01110000
781,11G00100,01110000
782,11G00300,01110000
783,11F20501,01111000
784,21F20802,01111000
785,11F20302,01111000
786,11F20401,01111000
787,11F20403,01111000
788,11F20501,01111000
789,21F20803,01111000
790,11F20403,01111000
791,11F20601,01111000
792,11G00100,01111000
793,11G00500,01111000
794,11F20603,01111000
795,11F20602,01111000
796,11F20401,01111000
797,11F20701,01111000
798,11F20700,01111000
799,21F20102,01111000
800,11H10101,01111000
801,11H10403,01110000
802,11H10101,01111000
803,11H10502,01111000
804,11H10201,01111000
805,11H10201,01111000
806,11H10602,01111000
807,11H10707,01111000
808,11H10201,01110000
809,11H10601,01111000
810,11H10605,01111000
811,11H10202,01211000
812,11H10604,01110000
813,11H10704,01111000
814,11H10401,01111000
815,11H10303,01111000
816,11H10201,01111000
817,11H10800,01111000
818,11H10301,01111000
819,11H10501,01111000
820,11H10501,01111000
821,11H10302,01111000
822,11H10601,01111000
823,11H10707,01111000
824,11H10600,01111000
825,11H10600,01111000
826,11H10702,01111000
827,11H10703,01111000
828,11H10701,01111000
829,11H10202,01111000
830,11H10201,01111000
831,11H10800,01110000
832,11H10502,01111000
833,11H10302,01111000
834,11H10302,01111000
835,11H10402,01111000
836,11H10503,01111000
837,11H10401,01111000
838,11H10301,01111000
839,11H10501,01111000
840,11H10703,01111000
841,11H10702,01111000
842,11H10202,01111000
843,11H10800,01111000
844,11H10102,01111000
845,11H10701,01111000
846,11H10701,01111000
847,11H10707,01111000
848,11H10704,01111000
849,11H10303,01111000
850,11H10202,01110000
851,11H10101,01111000
852,11H10101,01111000
853,11H10600,01111000
854,11H20101,01111000
855,11G00500,01111000
856,11F20402,01111000
857,11F20301,01111000
858,21F20204,01110000
859,11H10202,01111000
860,11H10701,01111000
861,11G00100,01111000
862,11G00900,01111000
863,11G00200,01111000
864,11F10201,01211110
865,11G00901,01111000
867,11G00300,01111000
868,11G00300,01111000
869,11G00300,11111000
870,11G00300,11111000
871,11G00300,11111000
872,11H20703,11111000
874,11D10101,01111000
875,11D20100,01111000
876,11D20602,01111000
877,11D10401,01111000
878,11D20300,11110000
881,21F10602,01111000
882,11F20502,01111000
883,11G00901,01111000
885,11G01000,01111000
886,21F10501,01111000
888,11C10301,01110000
889,11B10101,01111000
890,11G01001,01111000
892,11G00100,01111000
893,11G00200,01111000
896,11B20610,W0000000
897,11B20609,W0000000
898,11H20101,11111000
899,11H20301,11111000
900,11H20101,01111000
901,11H20101,01111000
902,11H20703,01111000
903,11H20604,01111000
904,11H20201,01111000
